nodos,ejes,dijkstra_basico,dijkstra_prioridad 
187, 17391,4780.17 ,4704.73
188, 17578,4872.49 ,4799.84
189, 17766,4998.17 ,4910.05
190, 17955,4986.78 ,4901.6
191, 18145,5119.87 ,5053.74
192, 18336,5226.56 ,5144.29
193, 18528,5327.65 ,5224.99
194, 18721,5355.72 ,5257.98
195, 18915,5472.11 ,5356.34
196, 19110,5554.16 ,5465.41
197, 19306,5667.86 ,5568.59
198, 19503,5748.01 ,5603.04
199, 19701,5833.35 ,5733.67
200, 19900,5892.06 ,5771.9
201, 20100,5983.6 ,5862.17
202, 20301,6067.6 ,5954.03
203, 20503,6134.06 ,6040.42
204, 20706,6241.97 ,6129.78
205, 20910,6352.16 ,6245.28
206, 21115,6449.68 ,6362.08
207, 21321,6557.52 ,6412.17
208, 21528,6633.84 ,6488.37
209, 21736,6717.64 ,6576.96
210, 21945,6839.46 ,6698.82
211, 22155,6956.5 ,6828.59
212, 22366,7023.03 ,6878
213, 22578,7190.25 ,7005.56
214, 22791,7201.76 ,7061.84
215, 23005,7323.06 ,7178.99
216, 23220,7374.02 ,7228.4
217, 23436,7575.07 ,7415.3
218, 23653,7606.34 ,7450.67
219, 23871,7711.38 ,7557.2
220, 24090,7803.5 ,7642.41
221, 24310,7978.4 ,7850.15
222, 24531,8049.56 ,7873.69
223, 24753,8157.95 ,7950.28
224, 24976,8243.82 ,8079.82
225, 25200,8451.32 ,8227.57
226, 25425,8481.99 ,8289.05
227, 25651,8666.58 ,8466.56
228, 25878,8719.51 ,8515.9
229, 26106,8868.83 ,8639.01
230, 26335,8913.5 ,8719.02
231, 26565,9089.84 ,8868.53
232, 26796,9166.17 ,8968.81
233, 27028,9334.75 ,9150.77
234, 27261,9499.3 ,9245.76
235, 27495,9565.71 ,9326.96
236, 27730,9664.01 ,9375.93
237, 27966,9802.97 ,9577.07
238, 28203,9909.41 ,9654.83
239, 28441,10026.1 ,9794.25
240, 28680,10175.1 ,9926.28
241, 28920,10349.2 ,10049.3
242, 29161,10436.4 ,10178
243, 29403,10606.2 ,10354.6
244, 29646,10652.1 ,10413.3
245, 29890,10835.3 ,10579.9
246, 30135,11009.5 ,10800.6
247, 30381,11198.8 ,10937.5
248, 30628,11189.5 ,10897.8
249, 30876,11400.8 ,11119.5
250, 31125,11444.6 ,11161.6
251, 31375,11677.2 ,11359.7
252, 31626,11777.6 ,11548.6
253, 31878,12015.7 ,11657.1
254, 32131,12055.7 ,11748.8
255, 32385,12246.1 ,11989.8
256, 32640,12380.9 ,12066.2
257, 32896,12525.2 ,12207.4
258, 33153,12541.4 ,12228.2
259, 33411,12898.8 ,12478.5
260, 33670,13007.7 ,12698.1
261, 33930,13107.5 ,12766
262, 34191,13241.8 ,12880
263, 34453,13439.7 ,13086.3
264, 34716,13604.7 ,13234.5
265, 34980,13772.8 ,13376.9
266, 35245,13840.7 ,13484.1
267, 35511,13918.3 ,13550.6
268, 35778,14184.4 ,13814.6
269, 36046,14390 ,14026
270, 36315,14452.7 ,14101.1
271, 36585,14738.1 ,14314.3
272, 36856,14804.1 ,14341.3
273, 37128,14986.8 ,14582.7
274, 37401,15129.6 ,14660.5
275, 37675,15393.3 ,14905.2
276, 37950,15448.8 ,15030.4
277, 38226,15662.7 ,15208.1
278, 38503,16004.9 ,15489.4
279, 38781,16024.6 ,15592.4
280, 39060,16158.5 ,15796.5
281, 39340,16372.9 ,15893.7
282, 39621,16440 ,15993
283, 39903,16683.8 ,16202
284, 40186,16916.6 ,16319.5
285, 40470,17061.6 ,16650.4
286, 40755,17192.1 ,16707.3
287, 41041,17560.5 ,17074.2
288, 41328,17600.3 ,17101.9
289, 41616,17796.2 ,17369
290, 41905,17925.6 ,17405.5
291, 42195,18096.5 ,17569.4
292, 42486,18315 ,17815.3
293, 42778,18483.9 ,17948
294, 43071,18609.6 ,18179.1
295, 43365,18916.5 ,18382.1
296, 43660,19131.6 ,18570.1
297, 43956,19322.6 ,18790.6
298, 44253,19490.8 ,18830.4
299, 44551,19753.8 ,19117.2
300, 44850,19835.1 ,19267.2
301, 45150,20287.3 ,19657.2
302, 45451,20151.8 ,19551.8
303, 45753,20485.9 ,19849.9
304, 46056,20695.2 ,20071.7
305, 46360,20943.7 ,20256
306, 46665,20946.2 ,20346.8
307, 46971,21506.5 ,20767
308, 47278,21506.1 ,20862.9
309, 47586,21852.3 ,21179
310, 47895,21917.7 ,21272.1
311, 48205,22196.1 ,21492.2
312, 48516,22312.7 ,21629.1
313, 48828,22642.9 ,21890.6
314, 49141,22758.7 ,22037.2
315, 49455,23117.1 ,22380.7
316, 49770,23243.4 ,22515.5
317, 50086,23515 ,22779.7
318, 50403,23671.1 ,22939.2
319, 50721,23936.4 ,23220.4
320, 51040,24245.2 ,23523
321, 51360,24507.7 ,23758.1
322, 51681,24482.8 ,23693.6
323, 52003,25191.6 ,24344.9
324, 52326,25001 ,24254.1
325, 52650,25388.1 ,24587.7
326, 52975,25553.6 ,24788.7
327, 53301,25834.9 ,24995.4
328, 53628,25960.1 ,25188.6
329, 53956,26435.9 ,25621.6
330, 54285,26323.7 ,25531.9
331, 54615,26705.6 ,25864.7
332, 54946,26876.1 ,26041.7
333, 55278,27233.2 ,26400.8
334, 55611,27444.2 ,26565
335, 55945,27773.9 ,26917.5
336, 56280,27902.6 ,27048.6
337, 56616,28276.7 ,27334.6
338, 56953,28365.7 ,27426.5
339, 57291,28855.7 ,27862.2
340, 57630,28984.3 ,28079.9
341, 57970,29467.8 ,28475.2
342, 58311,29514 ,28548.5
343, 58653,29902.2 ,28923.4
344, 58996,29882.2 ,28924.9
345, 59340,30409.7 ,29490.7
346, 59685,30585.6 ,29599.8
347, 60031,30941.7 ,29834.9
348, 60378,31069.9 ,29999
349, 60726,31508.4 ,30429.1
350, 61075,31553.8 ,30504.7
351, 61425,32177.5 ,31147.6
352, 61776,32186.6 ,31130.5
353, 62128,32605.5 ,31503.6
354, 62481,32718 ,31644
355, 62835,33136.9 ,31987.7
356, 63190,33110.6 ,32021.1
357, 63546,33817.2 ,32721.1
358, 63903,33671.5 ,32561.9
359, 64261,34493.6 ,33336.2
360, 64620,34410.7 ,33227.4
361, 64980,34838.2 ,33642.4
362, 65341,35184.4 ,33995.1
363, 65703,35316.6 ,34106
364, 66066,35580.6 ,34395.6
365, 66430,36001.6 ,34763.1
366, 66795,36205.1 ,34956.6
367, 67161,36659.8 ,35381.4
368, 67528,36775.6 ,35514.7
369, 67896,37323.8 ,36071.1
370, 68265,37641.6 ,36406.1
371, 68635,37854.2 ,36579.9
372, 69006,38014.7 ,36761.7
373, 69378,38522.9 ,37147.9
374, 69751,38779.9 ,37453.2
375, 70125,39261.1 ,37898.8
376, 70500,39286 ,37919.1
377, 70876,40053.7 ,38662.2
378, 71253,40154.5 ,38735.8
379, 71631,40667.7 ,39273.4
380, 72010,40805.1 ,39422.7
381, 72390,41291.2 ,39555.4
382, 72771,40200.6 ,38079.2
383, 73153,40197.5 ,38761.8
384, 73536,40480 ,39047.5
385, 73920,40722.1 ,39256.5
386, 74305,40831.1 ,39412.5
387, 74691,41442 ,39984.4
388, 75078,41447.1 ,39970.3
389, 75466,42192.2 ,40737.8
390, 75855,42336.6 ,40836.1
391, 76245,42679.9 ,41213.5
392, 76636,42889.7 ,41370.8
393, 77028,43556.2 ,42000.6
394, 77421,43319 ,41812.5
395, 77815,44271.1 ,42575.4
396, 78210,44116.3 ,42537.9
397, 78606,44966.9 ,43353.4
398, 79003,45389.1 ,43752.4
399, 79401,45632.8 ,43975.7
400, 79800,45708.2 ,44035
401, 80200,46201.6 ,44556.1
