nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
135, 134,35.9753 ,146.319 ,53.7357
136, 135,42.4439 ,152.794 ,61.5269
137, 136,41.4476 ,155.854 ,60.5271
138, 137,55.8138 ,162.639 ,71.4589
139, 138,42.1425 ,162.592 ,65.435
140, 139,32.6436 ,161.117 ,54.6438
141, 140,69.2021 ,171.807 ,75.1926
142, 141,81.3841 ,177.977 ,80.3373
143, 142,62.8493 ,177.996 ,76.1865
144, 143,18.5879 ,167.463 ,45.6061
145, 144,23.9369 ,175.16 ,52.0115
146, 145,25.253 ,177.704 ,52.6811
147, 146,66.139 ,193.483 ,83.3724
148, 147,32.4387 ,187.815 ,58.8769
149, 148,59.5043 ,196.99 ,77.0295
150, 149,91.3438 ,206.055 ,87.6064
151, 150,30.1813 ,195.095 ,58.1736
152, 151,81.8274 ,210.247 ,87.9794
153, 152,40.3864 ,207.521 ,68.3495
154, 153,75.2528 ,218.566 ,88.9806
155, 154,97.9524 ,225.424 ,99.4717
156, 155,85.9927 ,227.637 ,97.1537
157, 156,52.6409 ,226.406 ,84.9513
158, 157,47.3426 ,227.363 ,76.7175
159, 158,68.9313 ,236.335 ,89.0614
160, 159,79.8899 ,242.578 ,98.4274
161, 160,73.3765 ,244.646 ,91.7506
162, 161,34.1231 ,238.566 ,68.6544
163, 162,96.9847 ,256.698 ,105.926
164, 163,50.4775 ,248.687 ,75.8566
165, 164,76.0548 ,261.55 ,97.754
166, 165,94.4722 ,267.957 ,106.259
167, 166,115.082 ,275.491 ,112.505
168, 167,58.5317 ,272.576 ,93.0809
169, 168,89.7377 ,284.05 ,107.309
170, 169,82.3702 ,280.543 ,98.722
171, 170,68.8394 ,286.92 ,100.462
172, 171,114.712 ,299.199 ,120.04
173, 172,44.7981 ,287.247 ,80.8828
174, 173,103.366 ,306.488 ,117.115
175, 174,49.2053 ,298.87 ,92.3337
176, 175,86.5494 ,313.124 ,111.162
177, 176,98.9882 ,318.027 ,116.286
178, 177,86.6654 ,322.289 ,110.744
179, 178,67.7734 ,322.392 ,102.198
180, 179,110.955 ,338.856 ,130.167
181, 180,105.107 ,339.031 ,121.19
182, 181,84.3136 ,336.948 ,104.628
183, 182,114.069 ,346.838 ,118.319
184, 183,70.1445 ,348.872 ,111.002
185, 184,132.809 ,356.237 ,119.242
186, 185,83.4638 ,362.186 ,121.143
187, 186,104.06 ,371.389 ,132.822
188, 187,93.3054 ,372.406 ,117.475
189, 188,58.1976 ,370.761 ,99.8879
190, 189,102.161 ,389.179 ,134.307
191, 190,74.5259 ,391.403 ,127.945
192, 191,61.1151 ,383.243 ,104.249
193, 192,82.3538 ,396.773 ,118.028
194, 193,67.9246 ,396.636 ,106.779
195, 194,135.388 ,423.373 ,153.72
196, 195,76.5598 ,415.884 ,120.762
197, 196,105.569 ,427.159 ,139.366
198, 197,121.181 ,434.923 ,145.876
199, 198,125.608 ,441.988 ,146.597
200, 199,127.183 ,452.259 ,162.898
201, 200,121.822 ,452.695 ,146.068
202, 201,133.954 ,464.661 ,162.445
203, 202,152.091 ,465.102 ,150.065
204, 203,128.069 ,471.507 ,154.783
205, 204,93.3138 ,475.483 ,144.933
206, 205,189.756 ,495.282 ,176.629
207, 206,96.3163 ,481.687 ,131.86
208, 207,56.0712 ,475.297 ,101.883
209, 208,85.4676 ,487.012 ,122.705
210, 209,55.5014 ,487.647 ,106.431
211, 210,153.638 ,521.472 ,168.732
212, 211,143.167 ,529.001 ,172.508
213, 212,156.03 ,539.34 ,179.241
214, 213,127.013 ,530.871 ,153.088
215, 214,153.119 ,553.026 ,181.679
216, 215,116.61 ,545.041 ,155.764
217, 216,84.7968 ,547.174 ,138.435
218, 217,131.163 ,564.902 ,167.347
219, 218,124.55 ,574.342 ,177.053
220, 219,95.5887 ,572.647 ,158.284
221, 220,212.254 ,591.721 ,183.778
222, 221,70.9021 ,574.781 ,130.044
223, 222,94.2917 ,592.449 ,152.03
224, 223,171.532 ,617.77 ,193.113
225, 224,62.9517 ,592.48 ,126.029
226, 225,125.523 ,620.859 ,166.843
227, 226,150.589 ,644.15 ,202.552
228, 227,151.362 ,644.723 ,194.829
229, 228,134.885 ,640.468 ,168.524
230, 229,122.287 ,650.631 ,165.951
231, 230,186.369 ,678.128 ,213.452
232, 231,185.623 ,666.719 ,182.973
233, 232,67.7256 ,654.868 ,133.972
234, 233,116.35 ,686.412 ,186.491
235, 234,103.893 ,679.215 ,152.917
236, 235,130.133 ,706.295 ,198.769
237, 236,141.678 ,715.644 ,197.605
238, 237,125.129 ,719.764 ,187.631
239, 238,218.329 ,742.591 ,233.786
240, 239,165.5 ,734.737 ,192.955
241, 240,187.583 ,752.476 ,209.882
242, 241,171.205 ,746.493 ,185.161
243, 242,81.6276 ,744.028 ,159.771
244, 243,156.278 ,782.097 ,222.418
245, 244,202.401 ,788.007 ,218.271
246, 245,172.916 ,793.979 ,208.397
247, 246,209.531 ,819.223 ,249.427
248, 247,103.448 ,792.907 ,179.005
249, 248,115.339 ,800.918 ,170.25
250, 249,157.948 ,840.005 ,227.54
251, 250,104.674 ,824.593 ,179.18
252, 251,155.674 ,837.729 ,200.423
253, 252,225.115 ,876.716 ,261.685
254, 253,166.824 ,868.948 ,228.594
255, 254,164.741 ,868.993 ,205.633
256, 255,269.57 ,900.694 ,263.842
257, 256,221.304 ,909.522 ,261.083
258, 257,253.578 ,909.918 ,241.822
259, 258,270.188 ,922.119 ,246.351
260, 259,139.419 ,919.198 ,220.929
261, 260,190.139 ,946.826 ,261.72
262, 261,118.246 ,929.439 ,204.919
263, 262,126.597 ,922.893 ,185.856
264, 263,147.531 ,962.454 ,226.753
265, 264,178.027 ,975.312 ,243.902
266, 265,213.407 ,1007.51 ,285.486
267, 266,191.966 ,993.98 ,235.795
268, 267,202.718 ,1010.64 ,270.962
269, 268,211.972 ,1021.8 ,247.618
270, 269,246.811 ,1050.44 ,296.947
271, 270,368.881 ,1043.63 ,265.011
272, 271,121.33 ,1021.33 ,193.481
273, 272,223.722 ,1064.54 ,265.801
274, 273,214.127 ,1080.06 ,275.722
275, 274,350.79 ,1105.46 ,309.842
276, 275,299.656 ,1113.01 ,298.086
277, 276,316.762 ,1125.12 ,298.894
278, 277,146.617 ,1110.98 ,239.188
279, 278,162.039 ,1114.19 ,241.453
280, 279,253.613 ,1136.39 ,252.722
281, 280,175.618 ,1151.96 ,267.783
282, 281,266.576 ,1169.91 ,296.142
283, 282,220.776 ,1188.68 ,298.272
284, 283,427.547 ,1220.29 ,342.078
285, 284,275.548 ,1215.4 ,318.594
286, 285,376.806 ,1232.8 ,337.665
287, 286,257.038 ,1214.18 ,278.985
288, 287,289.655 ,1253.16 ,322.776
289, 288,219.601 ,1239.04 ,274.368
290, 289,221.91 ,1269.31 ,299.469
291, 290,440.989 ,1297.5 ,337.421
292, 291,180.62 ,1266.58 ,257.395
293, 292,266.323 ,1315.72 ,329.49
294, 293,339.973 ,1323.82 ,330.63
295, 294,202.137 ,1298.75 ,256.974
296, 295,498.603 ,1371.02 ,361.391
297, 296,224.282 ,1335.32 ,286.497
298, 297,271.947 ,1380.31 ,339.819
299, 298,482.628 ,1402.75 ,364.864
300, 299,269.113 ,1388.71 ,314.532
301, 300,159.294 ,1377.29 ,259.146
302, 301,287.933 ,1424.48 ,327.673
